pit,pool1,pool2,fidelity,date1,year1,pool1_salinity,pool1_temp,date2,year2,pool2_salinity,pool2_temp,salinity_change,temp_change,salinity_magnitude,temp_magnitude
3206,7,7,yes,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.23,10.4,-0.07999999999999999,3.5,0.07999999999999999,3.5
3207,5,5,yes,2022-03-31,2022,NA,NA,23-04-16,2023,0.14,11,NA,NA,NA,NA
3211,3,2,no,2022-03-26,2022,0.29,8.5,23-04-06,2023,0.29,6.6,0,-1.9000000000000004,0,1.9000000000000004
3216,7,12,no,2022-03-19,2022,0,5,23-04-14,2023,0.23,13.7,0.23,8.7,0.23,8.7
3218,7,7,yes,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.23,10.4,-0.07999999999999999,3.5,0.07999999999999999,3.5
3220,7,8,no,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.14,11.6,-0.16999999999999998,4.699999999999999,0.16999999999999998,4.699999999999999
3223,15,15,yes,2022-04-08,2022,0.71,7.5,23-04-14,2023,0.3,13.2,-0.41,5.699999999999999,0.41,5.699999999999999
3228,7,0,no,2022-04-08,2022,0.31,6.9,23-04-16,2023,NA,NA,NA,NA,NA,NA
3229,5,5,yes,2022-04-09,2022,0.2,7.4,23-04-10,2023,0.15,9.5,-0.05000000000000002,2.0999999999999996,0.05000000000000002,2.0999999999999996
3231,7,7,yes,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.23,10.4,-0.07999999999999999,3.5,0.07999999999999999,3.5
3234,12,12,yes,2022-04-07,2022,0.15,8.5,23-04-14,2023,0.23,13.7,0.08000000000000002,5.199999999999999,0.08000000000000002,5.199999999999999
3235,12,11,no,2022-04-08,2022,0.31,7,23-04-11,2023,12.15,11.5,11.84,4.5,11.84,4.5
3236,7,5,no,2022-04-08,2022,0.31,6.9,23-04-06,2023,0.38,7,0.07,0.09999999999999964,0.07,0.09999999999999964
3237,7,7,yes,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.23,10.4,-0.07999999999999999,3.5,0.07999999999999999,3.5
3241,12,8,no,2022-04-08,2022,0.31,7,23-04-14,2023,0.14,14.7,-0.16999999999999998,7.699999999999999,0.16999999999999998,7.699999999999999
3242,5,7,no,2022-03-27,2022,0.26,8.4,23-04-16,2023,0.23,10.4,-0.03,2,0.03,2
3243,7,5,no,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.14,11,-0.16999999999999998,4.1,0.16999999999999998,4.1
3244,15,15,yes,2022-04-09,2022,0.42,7.7,23-04-16,2023,0.26,11.5,-0.15999999999999998,3.8,0.15999999999999998,3.8
3245,7,8,no,2022-04-12,2022,0.17,10,23-04-16,2023,0.14,11.6,-0.03,1.5999999999999996,0.03,1.5999999999999996
3246,15,15,yes,2022-04-08,2022,0.71,7.5,23-04-01,2023,3,6.3,2.29,-1.2000000000000002,2.29,1.2000000000000002
3248,0,7,no,2022-03-31,2022,0.12,7.7,23-04-16,2023,0.23,10.4,0.11000000000000001,2.7,0.11000000000000001,2.7
3251,7,6,no,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.16,10,-0.15,3.0999999999999996,0.15,3.0999999999999996
3253,7,7,yes,2022-04-09,2022,0.21,8.3,23-04-16,2023,0.23,10.4,0.020000000000000018,2.0999999999999996,0.020000000000000018,2.0999999999999996
3254,6,7,no,2022-04-09,2022,0.21,7.3,23-04-16,2023,0.23,10.4,0.020000000000000018,3.1000000000000005,0.020000000000000018,3.1000000000000005
3257,15,15,yes,2022-04-08,2022,0.71,7.5,23-04-11,2023,0.36,9.1,-0.35,1.5999999999999996,0.35,1.5999999999999996
3258,7,7,yes,2022-04-09,2022,0.21,8.3,23-04-16,2023,0.23,10.4,0.020000000000000018,2.0999999999999996,0.020000000000000018,2.0999999999999996
3259,7,7,yes,2022-03-31,2022,NA,NA,23-04-16,2023,0.23,10.4,NA,NA,NA,NA
3260,12,7,no,2022-04-08,2022,0.31,7,23-04-14,2023,0.24,14.7,-0.07,7.699999999999999,0.07,7.699999999999999
3261,11,7,no,2022-03-19,2022,0,5,23-04-14,2023,0.24,14.7,0.24,9.7,0.24,9.7
3262,8,0,no,2022-04-08,2022,0.26,7.4,23-04-16,2023,NA,NA,NA,NA,NA,NA
3264,7,7,yes,2022-03-24,2022,0.2,4.4,23-04-16,2023,0.23,10.4,0.03,6,0.03,6
3266,0,7,no,2022-03-18,2022,0,4,23-04-16,2023,0.23,10.4,0.23,6.4,0.23,6.4
3272,11,11,yes,2022-04-12,2022,0.18,10.4,23-04-14,2023,0.25,14.5,0.07,4.1,0.07,4.1
3273,12,11,no,2022-04-07,2022,0.15,8.5,23-04-11,2023,12.15,11.5,12,3,12,3
3274,0,7,no,2022-03-18,2022,0,4,23-04-16,2023,0.23,10.4,0.23,6.4,0.23,6.4
3275,13,15,no,2022-04-08,2022,0.27,7,23-04-16,2023,0.26,11.5,-0.010000000000000009,4.5,0.010000000000000009,4.5
3276,0,6,no,2022-04-07,2022,0.25,9.8,23-04-16,2023,0.16,10,-0.09,0.1999999999999993,0.09,0.1999999999999993
3279,0,1,no,2022-04-08,2022,0.29,7.6,23-04-16,2023,0.14,10.4,-0.14999999999999997,2.8000000000000007,0.14999999999999997,2.8000000000000007
3281,12,12,yes,2022-04-08,2022,0.31,7,23-04-01,2023,0.6,6.1,0.29,-0.9000000000000004,0.29,0.9000000000000004
3283,12,7,no,2022-04-08,2022,0.31,7,23-04-16,2023,0.23,10.4,-0.07999999999999999,3.4000000000000004,0.07999999999999999,3.4000000000000004
3284,2,2,yes,2022-04-07,2022,0.17,7.8,23-04-16,2023,0.17,10.7,0,2.8999999999999995,0,2.8999999999999995
3286,1,1,yes,2022-04-09,2022,0.29,8,23-04-16,2023,0.14,10.4,-0.14999999999999997,2.4000000000000004,0.14999999999999997,2.4000000000000004
3287,7,6,no,2022-04-08,2022,0.31,6.9,23-04-16,2023,0.16,10,-0.15,3.0999999999999996,0.15,3.0999999999999996
3289,7,7,yes,2022-03-26,2022,0.24,9.2,23-04-16,2023,0.23,10.4,-0.009999999999999981,1.200000000000001,0.009999999999999981,1.200000000000001
3290,12,7,no,2022-04-08,2022,0.31,7,23-04-06,2023,17.21,9.6,16.900000000000002,2.5999999999999996,16.900000000000002,2.5999999999999996
3292,7,7,yes,2022-04-09,2022,0.21,8.3,23-04-16,2023,0.23,10.4,0.020000000000000018,2.0999999999999996,0.020000000000000018,2.0999999999999996
3293,7,16,no,2022-03-19,2022,0,5,23-04-01,2023,3,6.3,3,1.2999999999999998,3,1.2999999999999998
3300,15,13,no,2022-04-08,2022,0.71,7.5,23-04-01,2023,0.4,6.2,-0.30999999999999994,-1.2999999999999998,0.30999999999999994,1.2999999999999998
3304,6,7,no,2022-03-31,2022,NA,NA,23-04-16,2023,0.23,10.4,NA,NA,NA,NA
3311,15,7,no,2022-04-02,2022,0.3,7.6,23-04-06,2023,17.21,9.6,16.91,2,16.91,2
3315,7,7,yes,2022-04-05,2022,0.16,11.6,23-04-16,2023,0.23,10.4,0.07,-1.1999999999999993,0.07,1.1999999999999993
3316,7,5,no,2022-03-20,2022,0.29,5.5,23-04-01,2023,0.14,6.1,-0.14999999999999997,0.5999999999999996,0.14999999999999997,0.5999999999999996
3319,0,6,no,2022-03-31,2022,0.12,7.4,23-04-06,2023,0.18,6.1,0.06,-1.3000000000000007,0.06,1.3000000000000007
3320,5,8,no,2022-03-31,2022,NA,NA,23-04-06,2023,0.24,7,NA,NA,NA,NA
3321,7,7,yes,2022-04-07,2022,0.14,8.5,23-04-16,2023,0.23,10.4,0.09,1.9000000000000004,0.09,1.9000000000000004
3322,3,7,no,2022-03-31,2022,0.21,7.3,23-04-06,2023,17.21,9.6,17,2.3,17,2.3
3324,0,6,no,2022-04-01,2022,0,3.3,23-04-16,2023,0.16,10,0.16,6.7,0.16,6.7
3326,0,5,no,2022-03-31,2022,0.12,7.7,23-04-16,2023,0.14,11,0.020000000000000018,3.3,0.020000000000000018,3.3
3328,13,6,no,2022-04-01,2022,0.24,8,23-04-16,2023,0.16,10,-0.07999999999999999,2,0.07999999999999999,2
3329,11,11,yes,2022-04-01,2022,0.18,8.2,23-04-16,2023,0.42,12.7,0.24,4.5,0.24,4.5
3331,13,13,yes,2022-04-05,2022,0.25,9,23-04-09,2023,7.36,9.8,7.11,0.8000000000000007,7.11,0.8000000000000007
3332,5,7,no,2022-04-01,2022,0.18,7.8,23-04-11,2023,0.17,9.1,-0.009999999999999981,1.2999999999999998,0.009999999999999981,1.2999999999999998
3337,0,0,yes,2022-03-20,2022,0,5.5,23-04-14,2023,0.6,12.6,0.6,7.1,0.6,7.1
3339,3,2,no,2022-04-01,2022,0.19,8,23-04-16,2023,0.17,10.7,-0.01999999999999999,2.6999999999999993,0.01999999999999999,2.6999999999999993
3343,15,15,yes,2022-04-01,2022,0.37,7.4,23-04-16,2023,0.26,11.5,-0.10999999999999999,4.1,0.10999999999999999,4.1
3345,0,8,no,2022-03-31,2022,0.12,7.4,23-04-16,2023,0.14,11.6,0.020000000000000018,4.199999999999999,0.020000000000000018,4.199999999999999
3348,11,7,no,2022-04-01,2022,0.18,8.2,23-04-16,2023,0.23,10.4,0.05000000000000002,2.200000000000001,0.05000000000000002,2.200000000000001
3351,15,15,yes,2022-04-01,2022,0.37,7.4,23-04-16,2023,0.26,11.5,-0.10999999999999999,4.1,0.10999999999999999,4.1
3352,0,7,no,2022-03-31,2022,0.12,7.7,23-04-14,2023,0.24,14.7,0.12,6.999999999999999,0.12,6.999999999999999
3354,7,7,yes,2022-04-02,2022,0.19,8.8,23-04-16,2023,0.23,10.4,0.04000000000000001,1.5999999999999996,0.04000000000000001,1.5999999999999996
3355,12,11,no,2022-03-20,2022,0.3,5.5,23-04-16,2023,0.42,12.7,0.12,7.199999999999999,0.12,7.199999999999999
3357,7,7,yes,2022-04-02,2022,0.19,8.8,23-04-16,2023,0.23,10.4,0.04000000000000001,1.5999999999999996,0.04000000000000001,1.5999999999999996
3358,5,7,no,2022-03-20,2022,0.32,5.5,23-04-16,2023,0.23,10.4,-0.09,4.9,0.09,4.9
3359,0,6,no,2022-03-25,2022,0.19,5.2,23-04-14,2023,0.13,12,-0.06,6.8,0.06,6.8
3361,6,5,no,2022-04-07,2022,0.14,7.4,23-04-11,2023,0.15,8.8,0.009999999999999981,1.4000000000000004,0.009999999999999981,1.4000000000000004
3363,5,0,no,2022-04-01,2022,0.18,7.8,23-04-11,2023,NA,NA,NA,NA,NA,NA
3365,11,7,no,2022-04-01,2022,0.18,8.2,23-04-16,2023,0.23,10.4,0.05000000000000002,2.200000000000001,0.05000000000000002,2.200000000000001
3368,5,12,no,2022-04-04,2022,0.19,8.7,23-04-10,2023,0.23,8.8,0.04000000000000001,0.10000000000000142,0.04000000000000001,0.10000000000000142
3370,5,15,no,2022-04-01,2022,0.18,7.8,23-04-16,2023,0.26,11.5,0.08000000000000002,3.7,0.08000000000000002,3.7
3374,7,7,yes,2022-04-07,2022,0.14,8.5,23-04-16,2023,0.23,10.4,0.09,1.9000000000000004,0.09,1.9000000000000004
3375,0,7,no,2022-04-07,2022,0.25,9.8,23-04-16,2023,0.23,10.4,-0.01999999999999999,0.5999999999999996,0.01999999999999999,0.5999999999999996
3378,15,15,yes,2022-04-01,2022,0.37,7.4,23-04-16,2023,0.26,11.5,-0.10999999999999999,4.1,0.10999999999999999,4.1
3379,1,1,yes,2022-03-25,2022,0.36,5.4,23-04-11,2023,0.16,9,-0.19999999999999998,3.5999999999999996,0.19999999999999998,3.5999999999999996
3382,5,15,no,2022-03-20,2022,0.32,5.5,23-04-16,2023,0.26,11.5,-0.06,6,0.06,6
3383,5,6,no,2022-03-20,2022,0.32,5.5,23-04-16,2023,0.16,10,-0.16,4.5,0.16,4.5
3384,7,6,no,2022-03-25,2022,0.27,5.8,23-04-01,2023,0.18,5.9,-0.09000000000000002,0.10000000000000053,0.09000000000000002,0.10000000000000053
3388,15,7,no,2022-04-01,2022,0.37,7.4,23-04-16,2023,0.23,10.4,-0.13999999999999999,3,0.13999999999999999,3
3389,11,12,no,2022-04-01,2022,0.18,8.2,23-04-14,2023,0.23,13.7,0.05000000000000002,5.5,0.05000000000000002,5.5
3390,5,7,no,2022-04-01,2022,0.18,7.8,23-04-06,2023,17.21,9.6,17.03,1.7999999999999998,17.03,1.7999999999999998
3396,7,5,no,2022-04-05,2022,0.16,11.6,23-04-16,2023,0.14,11,-0.01999999999999999,-0.5999999999999996,0.01999999999999999,0.5999999999999996
3397,3,7,no,2022-04-01,2022,0.19,8,23-04-06,2023,17.21,9.6,17.02,1.5999999999999996,17.02,1.5999999999999996
3399,9,8,no,2022-03-31,2022,0.2,7.5,23-04-16,2023,0.14,11.6,-0.06,4.1,0.06,4.1
3401,6,6,yes,2022-04-07,2022,0.14,7.4,23-04-14,2023,0.13,12,-0.010000000000000009,4.6,0.010000000000000009,4.6
3402,1,2,no,2022-03-25,2022,0.36,5.4,23-04-16,2023,0.17,10.7,-0.18999999999999997,5.299999999999999,0.18999999999999997,5.299999999999999
3403,4,2,no,2022-04-01,2022,0.18,8.2,23-04-16,2023,0.17,10.7,-0.009999999999999981,2.5,0.009999999999999981,2.5
3404,0,1,no,2022-04-01,2022,0,3.3,23-04-16,2023,0.14,10.4,0.14,7.1000000000000005,0.14,7.1000000000000005
